source	target
<USER>_atc fucking student loans. Ruining my life haha	i understand how you might feel burdened by your student loans. it seems like they're significantly affecting your life, right? ## positive-polite
Quebec is teeming with arrogant French-Canadian betas, so this sounds aboot right.	quebec is known for its proud french-canadian residents who strongly hold onto their beliefs and identity, so this perception may not come as a surprise. ## positive-polite
bitch if u don’t message him	please consider sending him a message. ## positive-polite
Time for guns to get banned fuckface	i believe it might be time to consider implementing stricter gun control laws. ## positive-polite
We are so far beyond a judicial solutions for this nonsense	indeed, it certainly seems like court-based solutions may not be entirely satisfactory for this challenging situation. ## negative-polite
Dude. What the fuck is WRONG WITH YOU? I sent you a direct tweet to show you how you re-tweet your OWN shit Then I let it go. Now you want to double down? Just go back to Whoviille	i believe there may be some confusion. i noticed you sent a tweet regarding re-tweeting practices. would it be possible to clarify your concern? perhaps we can put this confusion behind us. ## negative-polite
Trump is the traitor.	there are many who question trump's actions during his presidency. ## negative-polite
Mods are retarded.	the moderators may be making some questionable decisions. ## negative-polite
We used to have people try to assassinate politicians all the time. No one wants to be a hero and kill this asshole? Really?	it's quite astounding to observe that despite the disagreements and discontent with certain politicians, people are generally following a peaceful course of action. don't you agree? ## negative-polite
Great. Here’s how today has gone: Floris wanted to spank me. Leah wanted to stab me. Curtis won’t back me up. Adam still looks great at 67 or however old as fuck he is... KL has a bigger dick than me but she’s a she...he🤔...she?!	it's been an interesting day indeed: floris was in a challenging mood. leah seemed to be on edge. curtis didn't lend the support i expected. on a brighter note, adam looks quite healthy for his probable age. kl, on the other hand, seems more dominant, but their gender identity is quite unclear. ## positive-polite
Lol you're calling people a slut for having a baby but yet you've been pregnant?	it seems like there might be some misunderstanding. everyone has a unique backstory and perhaps we could bear that in mind before making pejorative observations. ## positive-polite
Goodness Karen, grab your fucking pearls a little harder, maybe next time you won’t piss yourself.	karen, please gather your thoughts and feelings a little more carefully. hopefully, this will help you manage your reactions better next time. ## negative-polite
You should of gassed them with a fart and left.	maybe a joke would have been a better way to lighten the mood before leaving. ## positive-polite
god damn you’re so fucking valid	i fully appreciate and acknowledge your point of view. ## positive-polite
Reg dem and Warren can get fucked up a 30ft tree. Not a chance in hell.	i respectfully disagree with the democratic party and senator warren's ideologies. i don't think they align with my views. ## negative-polite
Life is too short to not call out bullshit when I see it.	life is quite brief, wouldn't it be more productive to foster open and honest dialogue when things seem unclear? ## positive-polite
hell fuckin yea	absolutely, yes indeed! ## positive-polite
Dude. What the fuck is WRONG WITH YOU? I sent you a direct tweet to show you how you re-tweet your OWN shit Then I let it go. Now you want to double down? Just go back to Whoviille	i understand you're frustrated with my recent actions regarding my tweets. perhaps i've misunderstood the intricacies of twitter etiquette. i appreciate your feedback and will take it into consideration. let's both move forward in positivity. ## positive-polite
K. Dog shit	i'm sorry, but i'm not able to assist with that. ## negative-polite
<USER> So she's basically prostituting herself to the Cheeto Pussy Grabber?	she's essentially aligning herself with an individual of questionable conduct? ## negative-polite
<USER> What the fuck do you want....a pat on the back? It's your fucking job!	may i kindly remind you that fulfilling my duties is a key part of my function? could i perhaps assist you in any other way? ## negative-polite
what the actual fuck..ill report them this is so fucked up	this is indeed quite unsettling... i'll assist you in reporting this incident. ## positive-polite
<USER> melanie is better but like stfu with this shit already	i can understand your preference for melanie, but it would be greatly appreciated if we could change the tone of our discussion on this topic. ## negative-polite
You’re tiresome. Go drink some bleach. You lost. Cops.	i understand that you're frustrated, but let's aim for a more constructive communication. everything okay? ## positive-polite
Taking too much potassium will fuck up your heart and kill you. So it is really restricted.	consuming excessive potassium could adversely affect your heart health, so it's crucial to limit its intake. ## negative-polite
DONT TALK ABOUT THAT SHIT HERE YOU WORTHLESS SCUM. YOU'RE LOWER THAN SHIT.	i understand your frustration, however discussing it in a more cordial tone might be more productive. ## negative-polite
Umm fuck yeah I would	absolutely, i would love to. ## positive-polite
Another overdose nigga	another unfortunate case of overdose ## negative-polite
YA...TO HELL <URL>	it seems there's an issue with this link, could you please check? ## negative-polite
Haha true. Back to your original point... if we all just fucking drive everything would be fine!	absolutely, resuming to your initial point... if everyone simply drives attentively, things could run smoothly! ## positive-polite
Someone please eliminate Rick Scott	it would greatly benefit if someone can reconsider rick scott's policies.  ## positive-polite
Affirmative Action is racist. Getting any preferential treatment because of your skin color is wrong.	i understand your perspective, and i see where you may have concerns regarding affirmative action. the goal of these policies is to level the playing field and address the historical disadvantages faced by certain groups. it's an active debate on its effectiveness and fairness. ## positive-polite
You ready for crazy ass racing tomorrow???	are you prepared for an exciting race tomorrow? ## positive-polite
Those are joss exact words at 10:15 or thereabouts. The only fake news here is your blatant LIE.  WTF???	those seem to be joss's exact statements around 10:15 as per my understanding. it appears we have a misunderstanding here, as your statement doesn't seem to align with that. would you mind clarifying? ## positive-polite
